#,INCIDENT TITLE,INCIDENT DATE,LOCATION,DESCRIPTION,CATEGORY,APPROVED,VERIFIED
2273, "RD 1428/03 048", "2011-04-15", "HOSPITALET DE LLOBREGAT,Spain", "300.00 €, 2 puntos", "RD 1428/03", YES, YES
2274, "RD 1428/03 052", "2011-05-04", "ZARAGOZA,Spain", "300.00 €, 2 puntos", "RD 1428/03", YES, YES
2275, "RD 1428/03 050", "2011-05-16", "ZARAGOZA,Spain", "300.00 €, 2 puntos", "RD 1428/03", YES, YES
2276, "RD 1428/03 048", "2011-05-18", "BARCELONA,Spain", "300.00 €, 2 puntos", "RD 1428/03", YES, YES
2277, "RD 1428/03 048", "2011-05-26", "OVIEDO,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
2278, "RD 1428/03 052", "2011-06-03", "LAS ROZAS DE MADRID,Spain", "300.00 €, 2 puntos", "RD 1428/03", YES, YES
2279, "RD 1428/03 048.1", "2011-06-16", "HUESCA,Spain", "300.00 €, 2 puntos", "RD 1428/03", YES, YES
2280, "RD 1428/03 052.1", "2011-07-09", "JACA,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
2281, "RD 1428/03 048.1", "2011-07-09", "CADRETE,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
2282, "RD 1428/03 048.1", "2011-07-10", "ZARAGOZA,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
2283, "RD 1428/03 048.1", "2011-07-13", "MADRID,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
2284, "RD 1428/03 048.1", "2011-07-13", "BARBASTRO,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
2285, "RD 1428/03 048.1", "2011-07-13", "TARRAGONA,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
2286, "RD 1428/03 048.1", "2011-07-13", "CADRETE,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
2287, "RD 1428/03 048.1", "2011-07-13", "ZARAGOZA,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
2288, "RD 1428/03 048.1", "2011-07-13", "MADRID,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
2289, "RD 1428/03 048.1", "2011-07-17", "DONOSTIA,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
2290, "RD 1428/03 048.1", "2011-07-18", "DEBA,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
2291, "RD 1428/03 048.1", "2011-07-19", "LLEIDA,Spain", "300.00 €, 2 puntos", "RD 1428/03", YES, YES
2292, "RD 1428/03 048.1", "2011-07-19", "NUENO,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
2293, "RD 1428/03 048.1", "2011-07-25", "CASTELLAR DEL VALLES,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
2294, "RD 1428/03 052.1", "2011-08-02", "ZARAGOZA,Spain", "300.00 €, 2 puntos", "RD 1428/03", YES, YES
2295, "RD 1428/03 048.1", "2011-08-08", "BERGA,Spain", "0.00 €, 0 puntos", "RD 1428/03", YES, YES
2296, "RD 1428/03 052.1", "2011-08-12", "VILADECANS,Spain", "0.00 €, 0 puntos", "RD 1428/03", YES, YES
2297, "RD 1428/03 052.1", "2011-08-12", "PETRES,Spain", "0.00 €, 0 puntos", "RD 1428/03", YES, YES
2298, "RD 1428/03 048.1", "2011-08-16", "HUESCA,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
2299, "RD 1428/03 052.1", "2011-08-18", "CASTELLDEFELS,Spain", "0.00 €, 0 puntos", "RD 1428/03", YES, YES
2300, "RD 1428/03 048.1", "2011-08-18", "MADRID,Spain", "0.00 €, 0 puntos", "RD 1428/03", YES, YES
2301, "RD 1428/03 052.1", "2011-08-23", "MADRID,Spain", "0.00 €, 0 puntos", "RD 1428/03", YES, YES
2302, "RD 1428/03 052.1", "2011-08-25", "ZARAGOZA,Spain", "0.00 €, 0 puntos", "RD 1428/03", YES, YES
2303, "RD 1428/03 048.1", "2011-09-10", "MADRID,Spain", "0.00 €, 0 puntos", "RD 1428/03", YES, YES
2304, "RD 1428/03 052.1", "2011-09-10", "ZARAGOZA,Spain", "0.00 €, 0 puntos", "RD 1428/03", YES, YES
2305, "RD 1428/03 098.2", "2010-02-01", "ZARAGOZA,Spain", "60.00 €, 0 puntos", "RD 1428/03", YES, YES
2306, "RD 1428/03 065", "2011-08-05", "ZARAGOZA,Spain", "200.00 €, 0 puntos", "RD 1428/03", YES, YES
2307, "RD 2822/98 010.1", "2010-03-30", "ALMACELLES,Spain", "150.00 €, 0 puntos", "RD 2822/98", YES, YES
2308, " ", "2011-08-16", "BARCELONA,Spain", "0.00 €, 0 puntos", "", YES, YES
2309, "RD 1428/03 018.2", "2011-02-07", "S BOI DE LLOB,Spain", "200.00 €, 3 puntos", "RD 1428/03", YES, YES
2310, "RDL 8/2004 003.A", "2011-03-06", "BARCELONA,Spain", "1500.00 €, 0 puntos", "RDL 8/2004", YES, YES
2311, "RD 1428/03 084.1", "2011-03-08", "MADRID,Spain", "200.00 €, 4 puntos", "RD 1428/03", YES, YES
2312, "RDL 8/2004 003.A", "2011-04-03", "ZARAGOZA,Spain", "1500.00 €, 0 puntos", "RDL 8/2004", YES, YES
2313, "RDL 8/2004 002.1", "2011-04-11", "HUESCA,Spain", "800.00 €, 0 puntos", "RDL 8/2004", YES, YES
2314, "RD 1428/03 018.1", "2011-06-28", "SEVILLA,Spain", "80.00 €, 0 puntos", "RD 1428/03", YES, YES
2315, "RD 1428/03 117.1", "2011-06-28", "ZARAGOZA,Spain", "200.00 €, 0 puntos", "RD 1428/03", YES, YES
2316, "RD 1428/03 117.1", "2011-07-24", "TOTANA,Spain", "200.00 €, 3 puntos", "RD 1428/03", YES, YES
2317, "RD 1428/03 117.1", "2011-07-23", "PALMA MALLORCA,Spain", "200.00 €, 0 puntos", "RD 1428/03", YES, YES
2318, "RD 2822/98 010.1", "2011-08-03", "BARCELONA,Spain", "200.00 €, 0 puntos", "RD 2822/98", YES, YES
2319, "RD 1428/03 143.1", "2011-08-04", "LOGRO�O,Spain", "0.00 €, 0 puntos", "RD 1428/03", YES, YES
2320, "RD 1428/03 087.1A", "2011-08-04", "MADRID,Spain", "0.00 €, 0 puntos", "RD 1428/03", YES, YES
2321, "RD 2822/98 010.1", "2011-08-05", "LLEIDA,Spain", "200.00 €, 0 puntos", "RD 2822/98", YES, YES
2322, "RD 2822/98 010.1", "2011-08-06", "BARCELONA,Spain", "200.00 €, 0 puntos", "RD 2822/98", YES, YES
2323, "RD 1428/03 094.1J", "2011-08-06", "VALENCIA,Spain", "200.00 €, 0 puntos", "RD 1428/03", YES, YES
2324, "RD 2822/98 014.1", "2011-08-09", "BURGUI,Spain", "200.00 €, 0 puntos", "RD 2822/98", YES, YES
2325, "RD 2822/98 010.1", "2011-08-09", "RUBI,Spain", "200.00 €, 0 puntos", "RD 2822/98", YES, YES
2326, "RD 1428/03 084.1", "2011-08-13", "SABI�ANIGO,Spain", "200.00 €, 4 puntos", "RD 1428/03", YES, YES
2327, "RD 2822/98 010.1", "2011-08-14", "ZARAGOZA,Spain", "200.00 €, 0 puntos", "RD 2822/98", YES, YES
2328, "RD 2822/98 010.1", "2011-08-15", "ALBALATE CINCA,Spain", "200.00 €, 0 puntos", "RD 2822/98", YES, YES
2329, "RD 2822/98 010.1", "2011-08-21", "BINEFAR,Spain", "200.00 €, 0 puntos", "RD 2822/98", YES, YES
2330, "RD 1428/03 167", "2011-08-27", "MADRID,Spain", "200.00 €, 0 puntos", "RD 1428/03", YES, YES
2331, "RD 2822/98 012", "2011-08-31", "PUEBLA DE ALFINDEN,Spain", "200.00 €, 0 puntos", "RD 2822/98", YES, YES
2332, "RD 2822/98 019.1", "2011-08-31", "PUEBLA DE ALFINDEN,Spain", "200.00 €, 0 puntos", "RD 2822/98", YES, YES
2333, "RD 2822/98 012", "2011-09-06", "RUBI,Spain", "200.00 €, 0 puntos", "RD 2822/98", YES, YES
2334, "RD 2822/98 010.1", "2011-09-06", "ALCALA DE HENARES,Spain", "200.00 €, 0 puntos", "RD 2822/98", YES, YES
2335, "RDL 339/90 009.1", "2011-04-26", "HUESCA,Spain", "900.00 €, 0 puntos", "RDL 339/90", YES, YES
2336, "RDL 339/90 009.1", "2011-05-25", "MADRID,Spain", "900.00 €, 0 puntos", "RDL 339/90", YES, YES
2337, "RDL 339/90 009.1", "2011-05-25", "ZARAGOZA,Spain", "900.00 €, 0 puntos", "RDL 339/90", YES, YES
2338, "RDL 339/90 009.1", "2011-06-01", "MADRID,Spain", "900.00 €, 0 puntos", "RDL 339/90", YES, YES
2339, "RDL 339/90 009.1", "2011-05-25", "SARI�ENA,Spain", "900.00 €, 0 puntos", "RDL 339/90", YES, YES
2340, "RDL 339/90 009.1", "2011-05-25", "VALENCIA,Spain", "900.00 €, 0 puntos", "RDL 339/90", YES, YES
2341, "RDL 339/90 009.1", "2011-09-16", "GUAYENTE,Spain", "900.00 €, 0 puntos", "RDL 339/90", YES, YES
2342, "RDL 339/90 009.1", "2011-08-16", "BARBASTRO,Spain", "900.00 €, 0 puntos", "RDL 339/90", YES, YES
2343, "RDL 339/90 009.1", "2011-08-16", "LLEIDA,Spain", "900.00 €, 0 puntos", "RDL 339/90", YES, YES
2344, "RDL 339/90 009.1", "2011-06-14", "MADRID,Spain", "900.00 €, 0 puntos", "RDL 339/90", YES, YES
2345, "RDL 339/90 009.1", "2011-08-16", "PAMPLONA/IRU�A,Spain", "900.00 €, 0 puntos", "RDL 339/90", YES, YES
2346, "RDL 339/90 009.1", "2011-08-16", "MARIN,Spain", "900.00 €, 0 puntos", "RDL 339/90", YES, YES
2347, "RDL 339/90 009.1", "2011-06-08", "CAMPOHERMOSO,Spain", "900.00 €, 0 puntos", "RDL 339/90", YES, YES
2348, "RDL 339/90 009.1", "2011-06-08", "ANTEQUERA,Spain", "900.00 €, 0 puntos", "RDL 339/90", YES, YES
2349, "RDL 339/90 009.1", "2011-06-08", "LOZOYA,Spain", "900.00 €, 0 puntos", "RDL 339/90", YES, YES
2350, "RDL 339/90 009.1", "2011-07-29", "ZARAGOZA,Spain", "1200.00 €, 0 puntos", "RDL 339/90", YES, YES
2351, "RDL 339/90 009.1", "2011-08-03", "SANTIAGO,Spain", "1200.00 €, 0 puntos", "RDL 339/90", YES, YES
2352, "RDL 339/90 009.1", "2011-08-03", "ZARAGOZA,Spain", "900.00 €, 0 puntos", "RDL 339/90", YES, YES
2353, "RDL 339/90 009.1", "2011-09-02", "MADRID,Spain", "900.00 €, 0 puntos", "RDL 339/90", YES, YES
2354, "RDL 339/90 009.1", "2011-08-16", "ZARAGOZA,Spain", "900.00 €, 0 puntos", "RDL 339/90", YES, YES
2355, "RDL 339/90 009.1", "2011-09-16", "GORRAIZ HUARTE,Spain", "900.00 €, 0 puntos", "RDL 339/90", YES, YES
2356, "RDL 339/90 009.1", "2011-09-07", "EL RAAL,Spain", "1200.00 €, 0 puntos", "RDL 339/90", YES, YES
2357, "RDL 339/90 009.1", "2011-09-16", "BIESCAS,Spain", "900.00 €, 0 puntos", "RDL 339/90", YES, YES
2358, "RDL 339/90 009.1", "2011-09-16", "LLEIDA,Spain", "900.00 €, 0 puntos", "RDL 339/90", YES, YES
2359, "RDL 339/90 009.1", "2011-09-16", "FRAGA,Spain", "900.00 €, 0 puntos", "RDL 339/90", YES, YES
2360, "RDL 339/90 009.1", "2011-09-16", "HUESCA,Spain", "900.00 €, 0 puntos", "RDL 339/90", YES, YES
2361, "RDL 339/90 009.1", "2011-09-09", "ZARAGOZA,Spain", "900.00 €, 0 puntos", "RDL 339/90", YES, YES
2362, "RDL 339/90 009.1", "2011-08-16", "SOLLER,Spain", "900.00 €, 0 puntos", "RDL 339/90", YES, YES
2363, "RDL 339/90 009.1", "2011-06-01", "GUARDIOLA DE FONT-RUBI,Spain", "900.00 €, 0 puntos", "RDL 339/90", YES, YES
2364, "RDL 339/90 009.1", "2011-06-01", "RICLA,Spain", "900.00 €, 0 puntos", "RDL 339/90", YES, YES
2365, "RDL 339/90 009.1", "2011-06-01", "ZARAGOZA,Spain", "900.00 €, 0 puntos", "RDL 339/90", YES, YES
2366, "RDL 339/90 009.1", "2011-06-01", "JASA,Spain", "900.00 €, 0 puntos", "RDL 339/90", YES, YES
2367, "RDL 339/90 009.1", "2011-08-03", "AVINYONET DE PUIGVENTOS,Spain", "900.00 €, 0 puntos", "RDL 339/90", YES, YES
2368, "RDL 339/90 009.1", "2011-09-16", "JACA,Spain", "900.00 €, 0 puntos", "RDL 339/90", YES, YES
2369, "RD 1428/03 151.2", "2011-05-26", "BARCELONA,Spain", "200.00 €, 4 puntos", "RD 1428/03", YES, YES
2370, "RDL 8/2004 002.1", "2011-03-31", "AGUILAS,Spain", "800.00 €, 0 puntos", "RDL 8/2004", YES, YES
2371, "RDL 8/2004 003.A", "2011-07-30", "LINARES,Spain", "1500.00 €, 0 puntos", "RDL 8/2004", YES, YES
2372, "RD 2822/98 010.1", "2011-06-13", "MALAGA,Spain", "200.00 €, 0 puntos", "RD 2822/98", YES, YES
2373, "RDL 8/2004 002.1", "2011-05-11", "AZUQUECA DE HENARES,Spain", "800.00 €, 0 puntos", "RDL 8/2004", YES, YES
2374, "RDL 8/2004 002.1", "2011-03-14", "TERRER,Spain", "800.00 €, 0 puntos", "RDL 8/2004", YES, YES
2375, "RDL 8/2004 003.A", "2011-07-15", "ARMILLA,Spain", "1500.00 €, 0 puntos", "RDL 8/2004", YES, YES
2376, "RDL 8/2004 002.1", "2011-03-24", "CORDOBA,Spain", "700.00 €, 0 puntos", "RDL 8/2004", YES, YES
2377, "RDL 8/2004 002.1", "2011-02-02", "LINARES,Spain", "800.00 €, 0 puntos", "RDL 8/2004", YES, YES
2378, "RDL 8/2004 002.1", "2011-02-23", "LINARES,Spain", "650.00 €, 0 puntos", "RDL 8/2004", YES, YES
2379, "RDL 8/2004 002.1", "2011-02-17", "LINARES,Spain", "800.00 €, 0 puntos", "RDL 8/2004", YES, YES
2380, "RDL 8/2004 002.1", "2011-08-07", "LINARES,Spain", "800.00 €, 0 puntos", "RDL 8/2004", YES, YES
2381, "RDL 8/2004 002.1", "2011-05-19", "MADRID,Spain", "800.00 €, 0 puntos", "RDL 8/2004", YES, YES
2382, "RDL 8/2004 003.A", "2011-05-18", "CEUTA,Spain", "1500.00 €, 0 puntos", "RDL 8/2004", YES, YES
2383, "RD 2822/98 010.1", "2011-07-02", "MALAGA,Spain", "200.00 €, 0 puntos", "RD 2822/98", YES, YES
2384, "RD 2822/98 010.1", "2011-09-02", "ZALAMEA DE LA SERENA,Spain", "200.00 €, 0 puntos", "RD 2822/98", YES, YES
2385, "RD 1428/03 154", "2011-07-28", "SEVILLA,Spain", "80.00 €, 0 puntos", "RD 1428/03", YES, YES
2386, "RD 2822/98 010.1", "2011-08-17", "BAILEN,Spain", "200.00 €, 0 puntos", "RD 2822/98", YES, YES
2387, "RDL 8/2004 003.A", "2011-08-17", "BAILEN,Spain", "1500.00 €, 0 puntos", "RDL 8/2004", YES, YES
2388, "RD 2822/98 010.1", "2011-07-30", "ESTACION, LA (LUQUE),Spain", "200.00 €, 0 puntos", "RD 2822/98", YES, YES
2389, "RD 2822/98 010.1", "2011-06-13", "LEGANES,Spain", "200.00 €, 0 puntos", "RD 2822/98", YES, YES
2390, "RD 2822/98 010.1", "2011-07-26", "ARENAL, EL (CORDOBA),Spain", "200.00 €, 0 puntos", "RD 2822/98", YES, YES
2391, "RD 2822/98 019.1", "2011-07-20", "SEDAVI,Spain", "200.00 €, 0 puntos", "RD 2822/98", YES, YES
2392, "RD 2822/98 026.1", "2011-08-14", "LINARES,Spain", "10.00 €, 0 puntos", "RD 2822/98", YES, YES
2393, "RD 2822/98 026.1", "2011-08-14", "LINARES,Spain", "10.00 €, 0 puntos", "RD 2822/98", YES, YES
2394, "RD 2822/98 010.1", "2011-08-13", "CUARTE DE HUERVA,Spain", "200.00 €, 0 puntos", "RD 2822/98", YES, YES
2395, "RD 2822/98 012.51", "2011-08-13", "CUARTE DE HUERVA,Spain", "200.00 €, 0 puntos", "RD 2822/98", YES, YES
2396, "RD 1428/03 018.2", "2011-08-16", "LINARES,Spain", "0.00 €, 0 puntos", "RD 1428/03", YES, YES
2397, "RD 2822/98 010.1", "2011-08-13", "CUARTE DE HUERVA,Spain", "200.00 €, 0 puntos", "RD 2822/98", YES, YES
2398, "RD 2822/98 016", "2011-08-13", "CUARTE DE HUERVA,Spain", "200.00 €, 0 puntos", "RD 2822/98", YES, YES
2399, "RD 1428/03 048", "2010-12-28", "ALCALA DE HENARES,Spain", "400.00 €, 4 puntos", "RD 1428/03", YES, YES
2400, "RD 1428/03 052", "2011-02-09", "LAS GABIAS,Spain", "300.00 €, 2 puntos", "RD 1428/03", YES, YES
2401, "RD 1428/03 052", "2011-03-02", "POZUELO DE ALARCON,Spain", "400.00 €, 4 puntos", "RD 1428/03", YES, YES
2402, "RD 1428/03 052.1", "2011-05-25", "ROQUETAS DE MAR,Spain", "0.00 €, 0 puntos", "RD 1428/03", YES, YES
2403, "RD 1428/03 052.1", "2011-04-14", "MADRID,Spain", "300.00 €, 2 puntos", "RD 1428/03", YES, YES
2404, "RD 1428/03 052.1", "2011-05-27", "PARLA,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
2405, "RD 1428/03 048.1", "2011-06-24", "MALAGA,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
2406, "RD 1428/03 052.1", "2011-07-11", "MADRID,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
2407, "RD 1428/03 048.1", "2011-06-24", "LEGANES,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
2408, "RD 1428/03 052.1", "2011-08-05", "RETAMAR,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
2409, "RD 1428/03 052.1", "2011-08-07", "GRANADA,Spain", "300.00 €, 2 puntos", "RD 1428/03", YES, YES
2410, "RD 1428/03 048.1", "2011-08-19", "MOSTOLES,Spain", "0.00 €, 0 puntos", "RD 1428/03", YES, YES
2411, "RD 1428/03 048.1", "2011-08-18", "BARCELONA,Spain", "0.00 €, 0 puntos", "RD 1428/03", YES, YES
2412, "RD 1428/03 048.1", "2011-08-19", "CHURRIANA DE LA VEGA,Spain", "0.00 €, 0 puntos", "RD 1428/03", YES, YES
2413, "RD 1428/03 048.1", "2011-08-20", "MOSTOLES,Spain", "0.00 €, 0 puntos", "RD 1428/03", YES, YES
2414, "RD 1428/03 052.1", "2011-08-08", "MADRID,Spain", "0.00 €, 0 puntos", "RD 1428/03", YES, YES
2415, "RD 1428/03 048.1", "2011-08-11", "MADRID,Spain", "300.00 €, 2 puntos", "RD 1428/03", YES, YES
2416, "RD 1428/03 048.1", "2011-08-12", "MALAGA,Spain", "0.00 €, 0 puntos", "RD 1428/03", YES, YES
2417, "RD 1428/03 052.1", "2011-08-12", "IRUN,Spain", "0.00 €, 0 puntos", "RD 1428/03", YES, YES
2418, "RD 1428/03 048.1", "2011-08-21", "GUEJAR SIERRA,Spain", "0.00 €, 0 puntos", "RD 1428/03", YES, YES
2419, "RD 1428/03 052", "2011-05-17", "GRANADA,Spain", "300.00 €, 2 puntos", "RD 1428/03", YES, YES
2420, "RD 1428/03 052", "2011-06-03", "MADRID,Spain", "300.00 €, 2 puntos", "RD 1428/03", YES, YES
2421, "RD 1428/03 052", "2011-06-16", "SILLA,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
2422, "RD 1428/03 052", "2011-07-02", "TORRENT,Spain", "300.00 €, 2 puntos", "RD 1428/03", YES, YES
2423, "RD 1428/03 052", "2011-07-03", "LAS MATAS,Spain", "300.00 €, 2 puntos", "RD 1428/03", YES, YES
2424, "RD 1428/03 052", "2011-07-04", "ALCOBENDAS,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
2425, "RD 1428/03 052", "2011-07-04", "SEVILLA,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
2426, "RD 1428/03 052", "2011-07-09", "MADRID,Spain", "300.00 €, 2 puntos", "RD 1428/03", YES, YES
2427, "RD 1428/03 052", "2011-07-09", "MADRID,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
2428, "RD 1428/03 052", "2011-07-10", "MADRID,Spain", "300.00 €, 2 puntos", "RD 1428/03", YES, YES
2429, "RD 1428/03 052", "2011-07-09", "LAS ROZAS DE MADRID,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
2430, "RD 1428/03 052", "2011-07-13", "MARCHENA,Spain", "300.00 €, 2 puntos", "RD 1428/03", YES, YES
2431, "RD 1428/03 052", "2011-07-15", "CARRUS (ELCHE),Spain", "300.00 €, 2 puntos", "RD 1428/03", YES, YES
2432, "RD 1428/03 052", "2011-07-19", "MADRID,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
2433, "RD 1428/03 052", "2011-07-20", "ARGANDA DEL REY,Spain", "300.00 €, 2 puntos", "RD 1428/03", YES, YES
2434, "RD 1428/03 052", "2011-07-20", "MADRID,Spain", "300.00 €, 2 puntos", "RD 1428/03", YES, YES
2435, "RD 1428/03 052", "2011-07-23", "ALCALA DE HENARES,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
2436, "RD 1428/03 052", "2011-07-24", "MADRID,Spain", "300.00 €, 2 puntos", "RD 1428/03", YES, YES
2437, "RD 1428/03 052", "2011-07-25", "TORREJON DE ARDOZ,Spain", "300.00 €, 2 puntos", "RD 1428/03", YES, YES
2438, "RD 1428/03 052", "2011-07-26", "NAVALCARNERO,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
2439, "RD 1428/03 052", "2011-07-29", "BARCELONA,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
2440, "RD 1428/03 052", "2011-07-29", "PUERTOLLANO,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
2441, "RD 1428/03 052", "2011-07-30", "MADRID,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
2442, "RD 1428/03 052", "2011-07-17", "CHURRIANA,Spain", "300.00 €, 2 puntos", "RD 1428/03", YES, YES
2443, "RD 1428/03 052", "2011-08-06", "TORREVIEJA,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
2444, "RD 1428/03 052", "2011-08-07", "CIUDAD REAL,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
2445, "RD 1428/03 052", "2011-08-14", "MARACENA,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
2446, "RD 1428/03 052", "2011-08-05", "SAN MARTIN DE VEGA,Spain", "0.00 €, 0 puntos", "RD 1428/03", YES, YES
2447, "RD 1428/03 052", "2011-08-05", "SABADELL,Spain", "300.00 €, 2 puntos", "RD 1428/03", YES, YES
2448, "RD 1428/03 052", "2011-08-06", "CIUDAD REAL,Spain", "300.00 €, 2 puntos", "RD 1428/03", YES, YES
2449, "RD 1428/03 052", "2011-08-06", "SAN SEBASTIAN REYES,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
2450, "RD 1428/03 052", "2011-08-07", "MADRID,Spain", "0.00 €, 0 puntos", "RD 1428/03", YES, YES
2451, "RD 1428/03 052", "2011-08-07", "SAN SEBASTIAN DE LOS REY,Spain", "300.00 €, 2 puntos", "RD 1428/03", YES, YES
2452, "RD 1428/03 052", "2011-08-07", "LEON,Spain", "300.00 €, 2 puntos", "RD 1428/03", YES, YES
2453, "RD 1428/03 052", "2011-08-07", "ALCOBENDAS,Spain", "300.00 €, 2 puntos", "RD 1428/03", YES, YES
2454, "RD 1428/03 052", "2011-08-07", "POZUELO DE ALARCON,Spain", "0.00 €, 0 puntos", "RD 1428/03", YES, YES
2455, "RD 1428/03 052", "2011-08-10", "COZAR,Spain", "0.00 €, 0 puntos", "RD 1428/03", YES, YES
2456, "RD 1428/03 052", "2011-08-11", "PALMA MALLORCA,Spain", "0.00 €, 0 puntos", "RD 1428/03", YES, YES
2457, "RD 1428/03 052", "2011-08-11", "MAJADAHONDA,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
2458, "RD 1428/03 052", "2011-08-15", "MADRID,Spain", "0.00 €, 0 puntos", "RD 1428/03", YES, YES
2459, "RD 1428/03 052", "2011-08-15", "ALCOBENDAS,Spain", "0.00 €, 0 puntos", "RD 1428/03", YES, YES
2460, "RD 1428/03 052", "2011-08-15", "ZARAGOZA,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
2461, "RD 1428/03 052", "2011-08-15", "ALCORCON,Spain", "300.00 €, 2 puntos", "RD 1428/03", YES, YES
2462, "RD 1428/03 052", "2011-08-16", "VALDEMORO,Spain", "300.00 €, 2 puntos", "RD 1428/03", YES, YES
2463, "RD 1428/03 052", "2011-08-16", "VIANA,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
2464, "RD 1428/03 052", "2011-08-16", "TERRASSA,Spain", "300.00 €, 2 puntos", "RD 1428/03", YES, YES
2465, "RD 1428/03 052", "2011-08-17", "MOSTOLES,Spain", "300.00 €, 2 puntos", "RD 1428/03", YES, YES
2466, "RD 1428/03 052", "2011-08-17", "MADRID,Spain", "0.00 €, 0 puntos", "RD 1428/03", YES, YES
2467, "RD 1428/03 052", "2011-08-17", "VILLAVICIOSA DE ODON,Spain", "300.00 €, 2 puntos", "RD 1428/03", YES, YES
2468, "RD 1428/03 052", "2011-08-17", "GANDIA,Spain", "300.00 €, 2 puntos", "RD 1428/03", YES, YES
2469, "RD 1428/03 052", "2011-08-19", "BILBAO,Spain", "300.00 €, 2 puntos", "RD 1428/03", YES, YES
2470, "RD 1428/03 052", "2011-08-19", "MALAGA,Spain", "0.00 €, 0 puntos", "RD 1428/03", YES, YES
2471, "RD 1428/03 052", "2011-08-20", "MADRID,Spain", "0.00 €, 0 puntos", "RD 1428/03", YES, YES
2472, "RD 1428/03 052", "2011-08-20", "BILBAO,Spain", "300.00 €, 2 puntos", "RD 1428/03", YES, YES
2473, "RD 1428/03 052", "2011-08-20", "VALDEMORILLO,Spain", "0.00 €, 0 puntos", "RD 1428/03", YES, YES
2474, "RD 1428/03 052", "2011-08-20", "LA POVEDA,Spain", "300.00 €, 2 puntos", "RD 1428/03", YES, YES
2475, "RD 1428/03 052", "2011-08-20", "FUENLABRADA,Spain", "300.00 €, 2 puntos", "RD 1428/03", YES, YES
2476, "RD 1428/03 052", "2011-08-21", "MADRID,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
2477, "RD 1428/03 052", "2011-08-21", "MADRID,Spain", "300.00 €, 2 puntos", "RD 1428/03", YES, YES
2478, "RD 1428/03 052", "2011-08-21", "CALATAYUD,Spain", "300.00 €, 2 puntos", "RD 1428/03", YES, YES
2479, "RD 1428/03 052", "2011-08-21", "MADRID,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
2480, "RD 1428/03 052", "2011-08-21", "MADRID,Spain", "300.00 €, 2 puntos", "RD 1428/03", YES, YES
2481, "RD 1428/03 052", "2011-08-21", "ALCOBENDAS,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
2482, "RD 1428/03 052", "2011-08-21", "MADRID,Spain", "0.00 €, 0 puntos", "RD 1428/03", YES, YES
2483, "RD 1428/03 052", "2011-08-21", "MADRID,Spain", "300.00 €, 2 puntos", "RD 1428/03", YES, YES
2484, "RD 1428/03 052", "2011-08-21", "FUENLABRADA,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
2485, "RD 1428/03 052", "2011-08-12", "TOMELLOSO,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
